"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/354/","text/html; charset=UTF-8","200","","","","","193","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/354/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/354//lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","194","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/354//lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/202/","text/html; charset=UTF-8","200","","","","","192","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/202/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","192","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/354/lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","193","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/354/lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/353/lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","192","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/353/lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","text/html; charset=UTF-8","200","","","","","191","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","text/html; charset=UTF-8","200","","","","","191","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/"
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987662/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/353/desired_rent_min/1610/desired_rent_max/1610","text/html; charset=UTF-8","200","","","","","278","https://www.unionknoxville.com/Apartments/module/application_authentication/","https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987662/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/353/desired_rent_min/1610/desired_rent_max/1610"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987651/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","text/html; charset=UTF-8","200","","","","","276","","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987651/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/"
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987661/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1575/desired_rent_max/1575","text/html; charset=UTF-8","200","","","","","277","https://www.unionknoxville.com/Apartments/module/application_authentication/","https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987661/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1575/desired_rent_max/1575"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987656/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","text/html; charset=UTF-8","200","","","","","276","","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987656/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987647/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","277","","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987647/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/353//lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","193","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/353//lease_start_window%5Bid%5D/7242/"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987656/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","text/html; charset=UTF-8","200","","","","","276","","https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987656/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/"
